n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
60,0.22356451412429373,0.07791933186675827,0.12997457627118647,0.37481638418079066,7.415876666666667,0.058640457933181504,rutledge,esthetiek,sequential
65,0.22333454807692302,0.07440719895881859,0.13168774038461528,0.37403725961538437,7.417655384615385,0.055069445302772996,rutledge,esthetiek,sequential
70,0.22320744927536226,0.07282088910804099,0.13421076604554863,0.36431469979296083,7.416785714285714,0.05016188875259469,rutledge,esthetiek,sequential
75,0.2192602594594594,0.06446427126243437,0.1375234234234233,0.3483785585585581,7.425416,0.04714321346512456,rutledge,esthetiek,sequential
80,0.21615949999999995,0.06494801581864725,0.13128607594936714,0.34339121835442993,7.41901,0.04420431758761552,rutledge,esthetiek,sequential
85,0.2249122521008403,0.06146212763428815,0.13964397759103625,0.34457591036414553,7.416284705882353,0.042752399885217264,rutledge,esthetiek,sequential
90,0.21815128589263413,0.06025817599083544,0.13563526841448184,0.32421797752808945,7.420013333333333,0.04461761875439785,rutledge,esthetiek,sequential
95,0.2176765016797312,0.056476121767477454,0.14189865621500555,0.31751254199328094,7.419004210526316,0.04062046991234497,rutledge,esthetiek,sequential
100,0.21941094949494944,0.056091029509575674,0.14312621212121196,0.31637328282828275,7.41778,0.040466116853813086,rutledge,esthetiek,sequential
105,0.2123051025641025,0.0522211331538028,0.1405533882783881,0.31546172161172165,7.421739047619048,0.03932192993065904,rutledge,esthetiek,sequential
110,0.21310631025854876,0.049787248351775545,0.1440720600500415,0.3068365721434529,7.420383636363637,0.037923895221634724,rutledge,esthetiek,sequential
115,0.21980676125095341,0.05134116287722723,0.14847643020594975,0.3102028985507246,7.417947826086957,0.03597130612108819,rutledge,esthetiek,sequential
120,0.21990577450980386,0.04792685947061961,0.15022016806722685,0.298589775910364,7.419855,0.03518800426375314,rutledge,esthetiek,sequential
125,0.21801628129032252,0.04708206783997696,0.14769174193548398,0.2992980645161285,7.4195312,0.034790831989779794,rutledge,esthetiek,sequential
130,0.21701700298151455,0.04505037519650857,0.14682423971377465,0.29255265354800264,7.4193215384615385,0.0345214118979438,rutledge,esthetiek,sequential
135,0.22225787506909891,0.043734279042517046,0.15834477611940312,0.2993511332227753,7.416567407407407,0.03219961092105276,rutledge,esthetiek,sequential
140,0.218033390544707,0.04296793273049,0.15364288283658808,0.28942682425488164,7.417872857142857,0.030743395914839818,rutledge,esthetiek,sequential
145,0.21838495402298844,0.041219671027848445,0.1565518199233713,0.28836738505747106,7.419106206896552,0.028891814712593392,rutledge,esthetiek,sequential
150,0.22026527785234892,0.03974291062966404,0.15562968680089492,0.2835931767337805,7.419378666666667,0.02810702084528259,rutledge,esthetiek,sequential
155,0.2190876514453288,0.03843344847698784,0.16072501047339738,0.2851627147046508,7.4177561290322584,0.028932932974216244,rutledge,esthetiek,sequential
160,0.2198592201257861,0.03862240825135817,0.15651149764150907,0.2815249803459116,7.41888,0.027169319901090165,rutledge,esthetiek,sequential
165,0.21892199113082036,0.03765253422185888,0.16222331855136723,0.27928628972653313,7.419991515151515,0.026512593403046885,rutledge,esthetiek,sequential
170,0.22150893491124254,0.03667213837663203,0.1661016533240512,0.28134591019839894,7.4180270588235295,0.02603105214243061,rutledge,esthetiek,sequential
175,0.2200672788177339,0.03528489929775009,0.16404748768472888,0.27529379310344787,7.417787428571429,0.026740557548781848,rutledge,esthetiek,sequential
180,0.22037443823711977,0.03444849190617954,0.16507279639975186,0.27424542209807634,7.41732,0.02490895507543617,rutledge,esthetiek,sequential
185,0.22082077673325495,0.032714339281384175,0.16919762044653355,0.27591104582843684,7.417835675675676,0.024320532565982718,rutledge,esthetiek,sequential
190,0.21953720634920632,0.033018965347762656,0.16640254803675883,0.2715450849345583,7.41853052631579,0.023695333885497348,rutledge,esthetiek,sequential
195,0.21951269151467084,0.03173270787586268,0.1679711075865713,0.269164684113137,7.41813641025641,0.022810202026382422,rutledge,esthetiek,sequential
200,0.219511976884422,0.030078102573215713,0.16631543969849208,0.265613417085427,7.417776,0.023243867551625632,rutledge,esthetiek,sequential
205,0.21694556575801047,0.030786368429460063,0.16877395982783364,0.264314801530368,7.4191795121951225,0.020912580773101423,rutledge,esthetiek,sequential
210,0.21964985554796074,0.02948233961041166,0.1707977329687855,0.26379958988380026,7.4186838095238095,0.02095537538570781,rutledge,esthetiek,sequential
215,0.21972308715496625,0.027780059992566643,0.1729278417735274,0.26114672897196284,7.4175879069767445,0.020752991676816147,rutledge,esthetiek,sequential
220,0.22048507928601074,0.02789172564360036,0.17245084059775803,0.26035299916977983,7.417607272727273,0.019550899689352197,rutledge,esthetiek,sequential
225,0.21795050714285708,0.02751319172325156,0.17060361111111086,0.2570373611111117,7.418860444444444,0.019493727811369727,rutledge,esthetiek,sequential
230,0.2187935173723182,0.026695575014774684,0.17343014999050688,0.2566670875261057,7.420633043478261,0.0185009755574886,rutledge,esthetiek,sequential
235,0.22004020221858514,0.025458180541866042,0.17473007819603542,0.2564644117112206,7.4188255319148935,0.018536912882483565,rutledge,esthetiek,sequential
240,0.22040105509065544,0.024416082417586384,0.17708529463040434,0.2548647751046021,7.418641666666667,0.018604564738328347,rutledge,esthetiek,sequential
245,0.21898698293743724,0.02324097008474884,0.17931110739377737,0.2529221311475401,7.420190204081632,0.016760125375593928,rutledge,esthetiek,sequential
250,0.21989485654618468,0.023058475060621544,0.18036808835341395,0.25229313253012053,7.4182632,0.017120883594900684,rutledge,esthetiek,sequential
255,0.21967083711594868,0.022247395768617062,0.1797961247491123,0.250799644897329,7.417598431372549,0.015990568057898693,rutledge,esthetiek,sequential
